gene,name,fluxes,essential,interesting
b1377,ompN,0.9823718127269752,false,false
b0241,phoE,0.9823718127269752,false,false
b0929,ompF,0.9823718127269752,false,false
b2215,ompC,0.9823718127269752,false,false
b0653,gltK,0.9823718127269752,false,false
b0655,gltI,0.9823718127269752,false,false
b0118,acnB,0.9823718127269752,false,false
b1276,acnA,0.9823718127269752,false,false
b4032,malG,0.9823718127269772,false,false
b3359,argD,-1.3672895417877006e-17,true,false
b3528,dctA,0.9823718127269752,false,false
b4033,malF,0.9823718127269772,false,false
b4035,malK,0.9823718127269772,false,false
b4034,malE,0.9823718127269772,false,false
b4036,lamB,0.9823718127269752,false,false
b4213,cpdB,0.9823718127269752,false,false
b4123,dcuB,0.9823718127269752,false,false
b2835,lplT,0.9823718127269764,false,false
b4138,dcuA,0.9823718127269752,false,false
b4077,gltP,0.9823718127269752,false,false
b3503,arsC,0.9823718127269752,false,false
b1064,grxB,0.9823718127269752,false,false
b1747,astA,0.9823718127269752,false,false
b1539,ydfG,0.9823718127269652,false,false
b1748,astC,0.9823718127269752,false,false
b1090,plsX,0.9823718127269748,false,false
b3475,acpT,0.9823718127269752,false,false
b2836,aas,0.9720365831108351,false,true
b2563,acpS,0.9823718127269752,false,false
b3553,ghrB,0.9823718127269752,false,false
b2578,eamB,0.9823718127269752,false,false
b1533,eamA,0.9823718127269752,false,false
b2019,hisG,5.009225872870321e-32,true,false
b1134,nudJ,0.9823718127269752,false,false
b3735,atpH,0.4024773014907232,false,true
b4067,actP,0.9823718127269793,false,false
b0446,cof,0.9823718127269752,false,false
b1623,add,0.9823718127269788,false,false
b1096,pabC,-1.1020296920314708e-30,true,false
b3739,atpI,0.9823718127269752,false,false
b3732,atpD,0.4024773014907232,false,true
b3737,atpE,0.4024773014907232,false,true
b3733,atpG,0.4024773014907232,false,true
b3734,atpA,0.4024773014907232,false,true
b3738,atpB,0.4024773014907232,false,true
b1009,rutD,0.9823718127269752,false,false
b1812,pabB,-1.1020296920314708e-30,true,false
b0180,fabZ,0.0,true,false
b3360,pabA,-1.1020296920314708e-30,true,false
b3731,atpC,0.4024773014907232,false,true
b3736,atpF,0.4024773014907232,false,true
b0954,fabA,0.9823718127269752,false,false
b3665,adeD,0.9823718127269752,false,false
b0347,mhpA,0.9823718127269752,false,false
b3654,xanP,0.9823718127269752,false,false
b0312,betB,0.9823718127269752,false,false
b3580,lyxK,0.9823718127269752,false,false
b3714,adeP,0.9823718127269752,false,false
b1093,fabG,-1.0018451745740642e-30,true,false
b1095,fabF,0.9823718127269752,false,false
b2323,fabB,0.0,true,false
b0474,adk,0.9823718127269783,false,false
b0120,speD,0.9823718127269752,false,false
b0827,moeA,-1.1020296920314708e-30,true,false
b1397,paaJ,0.9823718127269752,false,false
b3857,mobA,-1.1020296920314708e-30,true,false
b3856,mobB,0.9823718127269752,false,false
b4214,cysQ,3.3839321661710143e-16,true,false
b3806,cyaA,0.9823718127269752,false,false
b1245,oppC,0.9823718127269752,false,false
b0030,rihC,0.9823718127269752,false,false
b3551,bisC,0.9823718127269752,false,false
b1246,oppD,0.9823718127269752,false,false
b0775,bioB,0.0,true,false
b1329,mppA,0.9823718127269752,false,false
b0933,ssuB,0.9823718127269752,false,false
b2393,nupC,0.9823718127269752,false,false
b1247,oppF,0.9823718127269752,false,false
b1244,oppB,0.9823718127269752,false,false
b1386,tynA,0.9823718127269752,false,false
b0366,tauB,0.9823718127269752,false,false
b0367,tauC,0.9823718127269752,false,false
b0004,thrC,-3.7455789353448594e-17,true,false
b0934,ssuC,0.9823718127269752,false,false
b0365,tauA,0.9823718127269752,false,false
b0936,ssuA,0.9823718127269752,false,false
b1192,ldcA,0.9823718127269826,false,false
b1216,chaA,0.9823718127269752,false,false
b1243,oppA,0.9823718127269752,false,false
b4266,idnO,0.9823718127269752,false,false
b4132,cadB,0.9823718127269752,false,false
b4265,idnT,0.9823718127269752,false,false
b0159,mtn,-1.2072234353617476e-29,true,false
b3942,katG,0.9823718127269752,false,false
b2708,srlQ,0.9823718127269752,false,false
b1732,katE,0.9823718127269752,false,false
b2964,nupG,0.9823718127269752,false,false
b3197,kdsD,0.9823718127269752,false,false
b2406,xapB,0.9823718127269774,false,false
b0411,tsx,0.9823718127269752,false,false
b3196,yrbG,-1.0018451745740642e-30,true,false
b1094,acpP,8.907564071632579e-33,true,false
b4481,wecF,0.9823718127269752,false,false
b1270,btuR,0.9823718127269752,false,false
b1927,amyA,0.9823718127269752,false,false
b2874,yqeA,0.9823718127269752,false,false
b1992,cobS,0.9823718127269752,false,false
b0158,btuF,0.9823718127269752,false,false
b3571,malS,0.9823718127269752,false,false
b1709,btuD,0.9823718127269752,false,false
b0323,yahI,0.9823718127269752,false,false
b2901,bglA,0.9823718127269752,false,false
b0521,ybcF,0.9823718127269752,false,false
b0032,carA,0.9823718127269752,false,false
b1711,btuC,0.9823718127269752,false,false
b2662,gabT,0.9823718127269752,false,false
b3966,btuB,0.9823718127269752,false,false
b1252,tonB,0.9823718127269752,false,false
b0033,carB,0.9823718127269752,false,false
b1302,puuE,0.9823718127269752,false,false
b0444,queC,0.9823718127269752,false,false
b3006,exbB,0.9823718127269752,false,false
b3005,exbD,0.9823718127269752,false,false
b1444,patD,0.9823718127269752,false,false
b3397,nudE,0.9823718127269752,false,false
b3469,zntA,0.9823718127269752,false,false
b2663,gabP,0.9823718127269772,false,false
b3915,fieF,0.9823718127269804,false,false
b2221,atoD,0.9823718127269752,false,false
b0752,zitB,0.9823718127269752,false,false
b3034,nudF,0.9823718127269752,false,false
b2222,atoA,0.9823718127269752,false,false
b0469,apt,0.9823718127269752,false,false
b3040,zupT,0.0,true,false
b2224,atoB,0.9823718127269752,false,false
b2750,cysC,3.3839321661710143e-16,true,false
b2342,fadI,0.9823718127269752,false,false
b1131,purB,-2.176117905761906e-15,true,false
b3918,cdh,0.9823718127269752,false,false
b3845,fadA,0.9823718127269752,false,false
b2794,queF,0.9823718127269752,false,false
b2223,atoE,0.9823718127269747,false,false
b1208,ispE,0.0,true,false
b4177,purA,1.178229321837266e-15,true,false
b0351,mhpF,0.9823718127269752,false,false
b0677,nagA,0.9823718127269809,false,false
b1661,cfa,0.9823718127269752,false,false
b1241,adhE,0.9823718127269752,false,false
s0001,,-1.5728267399500542e-31,true,false
b2130,yehY,0.9823718127269752,false,false
b2129,yehX,0.9823718127269752,false,false
b2128,yehW,0.9823718127269752,false,false
b2131,osmF,0.9823718127269752,false,false
b0314,betT,0.9823718127269752,false,false
b1801,yeaV,0.9823718127269752,false,false
b0311,betA,0.9823718127269752,false,false
b2599,pheA,2.0691807712585427e-17,true,false
b2600,tyrA,0.0,true,false
b2329,aroC,1.1146598500779172e-17,true,false
b4039,ubiC,-5.770628205546611e-29,true,false
b2539,hcaF,0.9823718127269752,false,false
b2538,hcaE,0.9823718127269752,false,false
b2540,hcaC,0.9823718127269752,false,false
b2542,hcaD,0.9823718127269752,false,false
b0110,ampD,0.9823718127269804,false,false
b4169,amiB,0.9823718127269752,false,false
b2435,amiA,0.9823718127269752,false,false
b2817,amiC,0.9823718127269752,false,false
b1107,nagZ,0.9823718127269825,false,false
b0433,ampG,0.9823718127269788,false,false
b3619,hldD,0.9823718127269752,false,false
b2937,speB,0.9823718127269752,false,false
b3018,plsC,0.0,true,false
b3958,argC,-2.1161313347568157e-18,true,false
b0574,cusB,0.9823718127269752,false,false
b0572,cusC,0.9823718127269752,false,false
b0573,cusF,0.9823718127269752,false,false
b1463,nhoA,0.9823718127269752,false,false
b0575,cusA,0.9823718127269752,false,false
b4006,purH,-3.0972009416705303e-16,true,false
b0614,citX,0.9823718127269812,false,false
b0616,citE,0.9823718127269812,false,false
b0522,purK,7.425735463546971e-16,true,false
b1993,cobU,0.9823718127269752,false,false
b0523,purE,7.425735463546971e-16,true,false
b0617,citD,0.9823718127269812,false,false
b0185,accA,-1.5027677618610965e-31,true,false
b0615,citF,0.9823718127269812,false,false
b0612,citT,0.9823718127269752,false,false
b1249,clsA,0.9823718127269752,false,false
b0727,sucB,0.9777223396312725,false,true
b2316,accD,-1.5027677618610965e-31,true,false
b0726,sucA,0.9777223396312725,false,true
b0116,lpd,0.9539511626708412,false,true
b0789,clsB,0.9823718127269752,false,false
b3256,accC,-1.5027677618610965e-31,true,false
b2587,kgtP,0.9823718127269752,false,false
b3255,accB,-1.5027677618610965e-31,true,false
b1488,ddpX,0.9823718127269752,false,false
b1592,clcB,0.9823718127269752,false,false
b0155,clcA,0.9823718127269752,false,false
b4069,acs,0.9823718127269819,false,false
b3035,tolC,0.9823718127269752,false,false
b3542,dppC,0.9823718127269812,false,false
b1119,nagK,0.982371812726976,false,false
b1487,ddpA,0.9823718127269752,false,false
b3541,dppD,0.9823718127269812,false,false
b1485,ddpC,0.9823718127269752,false,false
b3543,dppB,0.9823718127269812,false,false
b0463,acrA,0.9823718127269752,false,false
b3784,wecA,0.9823718127269752,false,false
b2470,acrD,0.9823718127269752,false,false
b0462,acrB,0.9823718127269752,false,false
b3816,corA,0.9823704966528989,false,false
b1484,ddpD,0.9823718127269752,false,false
b1486,ddpB,0.9823718127269752,false,false
